"","SiteID","Species","Reproduction","Water_body","Nutrient_load"
"J12079","M83","OLI","ASEX","standing","Eutr."
"J12080","M83","OLI","ASEX","standing","Eutr."
"J12081","M83","OLI","ASEX","standing","Eutr."
"J12082","M83","OLI","ASEX","standing","Eutr."
"J12083","M83","VUL","ASEX","standing","Eutr."
"J12084","M84","OLI","ASEX","standing","Hypereutr."
"J12085","M84","OLI","ASEX","standing","Hypereutr."
"J12086","M84","OLI","ASEX","standing","Hypereutr."
"J12088","M84","OLI","ASEX","standing","Hypereutr."
"J12089","M84","OLI","ASEX","standing","Hypereutr."
"J12090","M84","OLI","ASEX","standing","Hypereutr."
"J12091","M84","OLI","ASEX","standing","Hypereutr."
"J12092","M84","OLI","ASEX","standing","Hypereutr."
"J12093","M84","OLI","ASEX","standing","Hypereutr."
"J12094","M84","OLI","ASEX","standing","Hypereutr."
"J12095","M84","OLI","ASEX","standing","Hypereutr."
"J12096","M84","OLI","ASEX","standing","Hypereutr."
"J12097","M84","OLI","ASEX","standing","Hypereutr."
"J12099","M85","OLI","ASEX","standing","Hypereutr."
"J12100","M85","OLI","ASEX","standing","Hypereutr."
"J12101","M85","OLI","NR","standing","Hypereutr."
"J12102","M85","OLI","NR","standing","Hypereutr."
"J12103","M85","OLI","ASEX","standing","Hypereutr."
"J12104","M85","OLI","ASEX","standing","Hypereutr."
"J12105","M85","OLI","ASEX","standing","Hypereutr."
"J12106","M85","OLI","ASEX","standing","Hypereutr."
"J12107","M85","OLI","ASEX","standing","Hypereutr."
"J12108","M85","OLI","ASEX","standing","Hypereutr."
"J12109","M85","OLI","ASEX","standing","Hypereutr."
"J12110","M85","OLI","ASEX","standing","Hypereutr."
"J12111","M85","OLI","ASEX","standing","Hypereutr."
"J12112","M85","OLI","ASEX","standing","Hypereutr."
"J12113","M85","OLI","ASEX","standing","Hypereutr."
"J12114","M86","CIR","SEX","standing","Hypereutr."
"J12115","M86","CIR","SEX","standing","Hypereutr."
"J12116","M86","CIR","SEX","standing","Hypereutr."
"J12117","M26","OLI","ASEX","running","Hypereutr."
"J12118","M26","OLI","ASEX","running","Hypereutr."
"J12119","M26","OLI","ASEX","running","Hypereutr."
"J12120","M26","OLI","SEX","running","Hypereutr."
"J12121","M26","OLI","SEX","running","Hypereutr."
"J12122","M26","OLI","SEX","running","Hypereutr."
"J12123","M26","OLI","SEX","running","Hypereutr."
"J12124","M26","OLI","ASEX","running","Hypereutr."
"J12125","M26","OLI","ASEX","running","Hypereutr."
"J12126","M28","OLI","SEX","standing","Eutr."
"J12127","M28","VUL","NR","standing","Eutr."
"J12128","M28","VUL","NR","standing","Eutr."
"J12129","M28","VUL","ASEX","standing","Eutr."
"J12130","M28","VUL","ASEX","standing","Eutr."
"J12131","M28","VUL","ASEX","standing","Eutr."
"J12132","M28","OLI","SEX","standing","Eutr."
"J12133","M28","OLI","ASEX","standing","Eutr."
"J12134","M28","OLI","SEX","standing","Eutr."
"J12135","M28","VUL","ASEX","standing","Eutr."
"J12136","M28","OLI","ASEX","standing","Eutr."
"J12137","M28","VUL","ASEX","standing","Eutr."
"J12138","M28","OLI","ASEX","standing","Eutr."
"J12139","M28","OLI","ASEX","standing","Eutr."
"J12140","M28","OLI","ASEX","standing","Eutr."
"J12141","M28","OLI","ASEX","standing","Eutr."
"J12142","M28","VUL","ASEX","standing","Eutr."
"J12143","M28","OLI","ASEX","standing","Eutr."
"J12144","M28","OLI","ASEX","standing","Eutr."
"J12145","M28","OLI","ASEX","standing","Eutr."
"J12146","M28","VUL","ASEX","standing","Eutr."
"J12147","M89","VUL","NR","standing","Hypereutr."
"J12148","M89","VUL","NR","standing","Hypereutr."
"J12149","M89","VUL","ASEX","standing","Hypereutr."
"J12150","M89","CIR","SEX","standing","Hypereutr."
"J12151","M89","CIR","SEX","standing","Hypereutr."
"J12152","M89","CIR","SEX","standing","Hypereutr."
"J12153","M89","VUL","ASEX","standing","Hypereutr."
"J12154","M89","CIR","SEX","standing","Hypereutr."
"J12155","M89","CIR","SEX","standing","Hypereutr."
"J12156","M89","VUL","ASEX","standing","Hypereutr."
"J12157","M89","VUL","ASEX","standing","Hypereutr."
"J12158","M89","OLI","ASEX","standing","Hypereutr."
"J12159","M89","OLI","ASEX","standing","Hypereutr."
"J12160","M89","OLI","ASEX","standing","Hypereutr."
"J12161","M89","CIR","SEX","standing","Hypereutr."
"J12162","M89","VUL","ASEX","standing","Hypereutr."
"J12163","M89","VUL","ASEX","standing","Hypereutr."
"J12164","M89","VUL","ASEX","standing","Hypereutr."
"J12165","M89","CIR","SEX","standing","Hypereutr."
"J12166","M89","CIR","SEX","standing","Hypereutr."
"J12167","M89","OLI","ASEX","standing","Hypereutr."
"J12168","M89","OLI","ASEX","standing","Hypereutr."
"J12169","M89","VUL","ASEX","standing","Hypereutr."
"J12172","M89","CIR","SEX","standing","Hypereutr."
"J12173","M89","CIR","SEX","standing","Hypereutr."
"J12174","M89","OLI","ASEX","standing","Hypereutr."
"J12175","M90","OLI","SEX","standing","Hypereutr."
"J12176","M90","VUL","NR","standing","Hypereutr."
"J12177","M90","OLI","SEX","standing","Hypereutr."
"J12178","M90","OLI","NR","standing","Hypereutr."
"J12179","M90","OLI","SEX","standing","Hypereutr."
"J12180","M90","VUL","SEX","standing","Hypereutr."
"J12181","M90","VUL","NR","standing","Hypereutr."
"J12182","M90","OLI","SEX","standing","Hypereutr."
"J12183","M90","OLI","ASEX","standing","Hypereutr."
"J12184","M90","CIR","SEX","standing","Hypereutr."
"J12185","M90","OLI","SEX","standing","Hypereutr."
"J12186","M90","OLI","NR","standing","Hypereutr."
"J12187","M90","OLI","ASEX","standing","Hypereutr."
"J12188","M90","OLI","ASEX","standing","Hypereutr."
"J12189","M90","OLI","SEX","standing","Hypereutr."
"J12190","M90","OLI","NR","standing","Hypereutr."
"J12191","M90","OLI","SEX","standing","Hypereutr."
"J12192","M90","OLI","SEX","standing","Hypereutr."
"J12193","M90","OLI","ASEX","standing","Hypereutr."
"J12194","M90","OLI","ASEX","standing","Hypereutr."
"J12195","M90","CIR","SEX","standing","Hypereutr."
"J12196","M90","VUL","NR","standing","Hypereutr."
"J12197","M90","CIR","SEX","standing","Hypereutr."
"J12198","M90","CIR","SEX","standing","Hypereutr."
"J12199","M90","VUL","NR","standing","Hypereutr."
"J12200","M71","OLI","ASEX","running","Eutr."
"J12201","M71","OLI","ASEX","running","Eutr."
"J12202","M71","OLI","ASEX","running","Eutr."
"J12203","M71","OLI","SEX","running","Eutr."
"J12204","M71","OLI","ASEX","running","Eutr."
"J12205","R12","OLI","ASEX","running","Mesoeutr."
"J12206","R12","OLI","SEX","running","Mesoeutr."
"J12207","R12","OLI","ASEX","running","Mesoeutr."
"J12208","R12","OLI","ASEX","running","Mesoeutr."
"J12209","R12","OLI","NR","running","Mesoeutr."
"J12210","R12","OLI","NR","running","Mesoeutr."
"J12211","R12","OLI","NR","running","Mesoeutr."
"J12212","R12","OLI","ASEX","running","Mesoeutr."
"J12213","R12","OLI","ASEX","running","Mesoeutr."
"J12214","R12","OLI","NR","running","Mesoeutr."
"J12215","M71","OLI","ASEX","running","Eutr."
"J12216","M71","OLI","ASEX","running","Eutr."
"J12218","M71","OLI","ASEX","running","Eutr."
"J12219","M71","OLI","ASEX","running","Eutr."
"J12221","M71","OLI","ASEX","running","Eutr."
"J12222","M71","OLI","ASEX","running","Eutr."
"J12223","M71","OLI","ASEX","running","Eutr."
"J12224","M71","OLI","ASEX","running","Eutr."
"J12225","M72","OLI","SEX","running","Hypereutr."
"J12226","M72","OLI","ASEX","running","Hypereutr."
"J12227","M72","OLI","ASEX","running","Hypereutr."
"J12228","M72","OLI","SEX","running","Hypereutr."
"J12229","M72","OLI","SEX","running","Hypereutr."
"J12230","M72","OLI","NR","running","Hypereutr."
"J12231","M72","OLI","ASEX","running","Hypereutr."
"J12232","M72","OLI","ASEX","running","Hypereutr."
"J12233","M72","OLI","ASEX","running","Hypereutr."
"J12234","M72","OLI","SEX","running","Hypereutr."
"J12235","M72","OLI","ASEX","running","Hypereutr."
"J12236","M72","OLI","ASEX","running","Hypereutr."
"J12237","M72","OLI","ASEX","running","Hypereutr."
"J12238","M72","OLI","SEX","running","Hypereutr."
"J12239","M72","OLI","SEX","running","Hypereutr."
"J12240","M72","OLI","ASEX","running","Hypereutr."
"J12241","M72","OLI","SEX","running","Hypereutr."
"J12242","M72","OLI","ASEX","running","Hypereutr."
"J12243","M72","OLI","ASEX","running","Hypereutr."
"J12244","M72","OLI","ASEX","running","Hypereutr."
"J12245","M72","OLI","ASEX","running","Hypereutr."
"J12246","M31","OLI","SEX","standing","Eutr."
"J12247","M31","OLI","NR","standing","Eutr."
"J12248","M31","OLI","ASEX","standing","Eutr."
"J12249","M31","OLI","ASEX","standing","Eutr."
"J12250","M31","VUL","ASEX","standing","Eutr."
"J12251","M31","OLI","ASEX","standing","Eutr."
"J12252","M31","OLI","SEX","standing","Eutr."
"J12253","M34","OLI","ASEX","running","Eutr."
"J12254","M34","OLI","ASEX","running","Eutr."
"J12255","M34","OLI","ASEX","running","Eutr."
"J12256","M34","OLI","NR","running","Eutr."
"J12257","M34","OLI","NR","running","Eutr."
"J12258","M34","OLI","NR","running","Eutr."
"J12259","M67","OLI","SEX","running","Hypereutr."
"J12260","M67","OLI","NR","running","Hypereutr."
"J12261","M67","OLI","SEX","running","Hypereutr."
"J12262","M67","OLI","SEX","running","Hypereutr."
"J12263","M67","OLI","SEX","running","Hypereutr."
"J12264","M67","VUL","ASEX","running","Hypereutr."
"J12265","M67","OLI","SEX","running","Hypereutr."
"J12266","M67","OLI","SEX","running","Hypereutr."
"J12267","M67","OLI","ASEX","running","Hypereutr."
"J12268","M67","OLI","ASEX","running","Hypereutr."
"J12269","M70","VUL","ASEX","running","Mesoeutr."
"J12270","M70","VUL","NR","running","Mesoeutr."
"J12271","M70","OLI","ASEX","running","Mesoeutr."
"J12272","M70","OLI","ASEX","running","Mesoeutr."
"J12273","M70","VUL","ASEX","running","Mesoeutr."
"J12274","M70","VUL","ASEX","running","Mesoeutr."
"J12275","M70","VUL","NR","running","Mesoeutr."
"J12276","M70","VUL","NR","running","Mesoeutr."
